CourseID,CourseName,maxSize
1,CS 6210 Advanced Operating Systems,3
2,CS 6250 Computer Networks,3
3,CS 6300 Software Development Process,3
4,CS 7641 Machine Learning,3
5,CS 6290 High Performance Computer Architecture,3
6,CS 6310 Software Architecture and Design,3
7,CS 6440 Intro to Health Informatics,3
8,CS 6505 Computability Complexity and Algorithms,3
9,CS 7637 Knowledge-Based Artificial Intelligence,3
10,CS 4495 Computer Vision,3
11,CS 6475 Computational Photography,3
12,CS 8803 Special Topics: Operating Systems,3
13,CS 8803 Special Topics: AI for Robotics,3
14,CS 6035 Introduction to Information Security,3
15,CS 6220 High-Performance Computing,3
16,CS 7646 Machine Learning for Trading,3
17,CS 7646 Special Topics: Reinforcement Learning,3
18,CS 8803 Special Topics: Big Data,3
